Date,Question,Option 1,Option 2,Option 3,Option 4,Option 5
2022/03/14 08:00,Är du nöjd med hur politikerna skött sig denna mandatperiod 2018-2022?,Ja,Nej,Ingen åsikt,,
2022/03/15 08:00,Sverige och EU - hur göra?,Fortsätta på inslagna vägen,Verka för samarbete men mindre detaljstyrning, Gå ur EU,Ingen åsikt,
2022/03/16 08:00,,,,,,
2022/03/17 08:00,,,,,,
2022/03/18 08:00,,,,,,
2022/03/19 08:00,,,,,,
2022/03/20 08:00,,,,,,
2022/03/21 08:00,,,,,,
2022/03/22 08:00,,,,,,
2022/03/23 08:00,,,,,,
2022/03/24 08:00,,,,,,
